"sub_id","Wins_1","Wins_2","Wins_3","Wins_4","Wins_5","Wins_6","Wins_7","Wins_8","Wins_9","Wins_10","Wins_11","Wins_12","Wins_13","Wins_14","Wins_15","Wins_16","Wins_17","Wins_18","Wins_19","Wins_20","Wins_21","Wins_22","Wins_23","Wins_24","Wins_25","Wins_26","Wins_27","Wins_28","Wins_29","Wins_30","Wins_31","Wins_32","Wins_33","Wins_34","Wins_35","Wins_36","Wins_37","Wins_38","Wins_39","Wins_40","Wins_41","Wins_42","Wins_43","Wins_44","Wins_45","Wins_46","Wins_47","Wins_48","Wins_49","Wins_50","Wins_51","Wins_52","Wins_53","Wins_54","Wins_55","Wins_56","Wins_57","Wins_58","Wins_59","Wins_60","Wins_61","Wins_62","Wins_63","Wins_64","Wins_65","Wins_66","Wins_67","Wins_68","Wins_69","Wins_70","Wins_71","Wins_72","Wins_73","Wins_74","Wins_75","Wins_76","Wins_77","Wins_78","Wins_79","Wins_80","Wins_81","Wins_82","Wins_83","Wins_84","Wins_85","Wins_86","Wins_87","Wins_88","Wins_89","Wins_90","Wins_91","Wins_92","Wins_93","Wins_94","Wins_95","Wins_96","Wins_97","Wins_98","Wins_99","Wins_100","age"
"341",100,120,100,80,80,50,60,50,40,90,110,40,45,120,90,100,55,110,90,45,55,60,40,55,100,120,80,110,120,110,55,50,45,50,80,110,90,110,60,100,90,45,130,55,60,130,90,100,120,40,40,120,130,55,60,110,110,55,65,40,90,130,90,45,45,120,100,70,55,65,70,50,70,60,40,50,60,120,120,100,110,70,55,120,140,40,65,80,60,130,140,110,100,65,40,55,110,110,100,120,1
"342",100,120,80,100,50,50,90,110,80,60,40,45,45,55,60,40,100,80,55,50,60,40,110,120,90,100,55,120,110,40,90,120,110,55,55,80,110,100,60,40,45,90,90,45,50,45,60,40,130,55,65,70,50,110,120,130,90,55,55,65,70,130,100,110,45,70,60,55,120,90,40,50,65,80,100,110,60,40,90,120,70,40,60,80,130,120,120,100,65,40,120,110,55,80,40,60,55,65,40,80,1
"343",100,120,80,90,110,100,80,110,120,90,100,90,120,110,80,110,100,90,130,100,50,60,120,40,55,55,45,50,50,40,80,130,110,45,45,45,60,40,120,110,90,90,100,120,120,55,110,130,55,60,40,55,50,60,55,65,45,70,40,50,60,70,40,60,65,55,80,40,60,55,65,40,80,65,90,100,110,140,130,55,40,100,75,55,60,70,65,55,75,120,110,120,120,60,40,45,140,55,65,45,1
"344",50,40,45,45,55,60,40,55,50,60,50,55,100,40,100,60,80,40,120,80,110,45,55,60,65,120,70,90,90,50,40,70,110,100,80,100,90,60,55,55,120,65,80,55,120,45,40,50,110,110,80,40,45,65,90,80,55,60,40,55,55,60,65,65,75,45,110,130,70,40,50,60,60,70,65,75,40,90,85,60,45,65,55,55,70,100,80,40,55,60,70,55,80,65,70,65,40,80,110,80,1
"345",50,50,100,100,80,120,110,80,120,90,90,110,100,60,90,40,40,45,45,120,110,55,55,55,60,40,55,50,60,80,100,55,45,40,50,60,45,40,60,80,40,45,55,55,55,65,65,70,50,70,45,110,120,100,110,90,90,130,110,120,70,40,50,60,55,65,80,40,80,40,65,55,60,70,40,60,65,60,65,130,130,90,100,110,90,120,100,120,120,110,55,110,140,80,130,75,60,65,75,85,1
"346",50,40,100,120,45,45,80,100,55,80,90,60,110,110,50,120,60,40,55,50,100,90,60,40,100,80,55,90,40,60,120,120,40,110,55,55,45,110,45,80,55,65,50,110,70,90,50,100,70,45,110,90,60,130,130,55,60,120,90,40,65,80,100,130,40,55,110,55,80,120,90,40,65,100,120,65,45,55,120,110,60,110,70,90,140,65,40,75,130,50,60,100,65,110,130,60,120,75,85,120,1
"347",100,80,50,100,120,80,50,90,110,40,120,110,60,90,100,45,100,40,80,90,120,110,80,45,55,55,120,110,45,110,55,50,100,90,45,60,90,130,120,110,130,40,130,110,55,55,65,90,60,100,90,120,40,45,120,100,110,140,70,55,120,130,40,50,50,100,60,110,110,70,60,120,90,40,120,55,130,140,110,130,140,120,60,110,65,120,130,40,55,150,100,80,120,110,60,40,140,150,120,140,1
"348",50,100,80,50,100,60,110,40,120,120,40,45,80,55,90,55,100,45,90,45,120,110,50,45,60,90,80,40,110,55,100,55,110,90,55,130,65,60,100,40,120,45,130,55,80,50,70,110,90,100,120,120,110,140,40,50,60,55,40,60,120,110,130,60,40,70,40,100,110,120,120,140,110,130,140,60,120,45,90,110,65,130,150,55,110,55,65,130,110,80,70,150,90,40,50,70,60,55,65,80,1
"349",100,120,80,90,110,100,80,120,110,100,80,50,60,50,40,45,45,40,55,60,40,55,50,60,55,40,60,40,45,55,65,70,50,70,60,55,65,80,40,80,40,65,55,60,65,75,60,55,110,90,120,90,100,65,55,90,120,75,45,110,80,110,100,90,130,50,45,60,85,45,55,70,55,70,80,65,70,80,90,50,40,60,75,60,75,85,70,75,85,95,55,65,80,65,55,55,65,120,45,130,1
"350",100,120,80,50,60,100,80,110,120,90,50,40,100,90,120,110,90,80,110,100,40,55,55,90,45,45,55,60,40,110,100,45,50,45,60,55,50,60,80,130,40,55,55,55,40,60,40,45,55,65,70,50,70,65,45,70,120,110,90,40,60,50,55,60,65,70,80,40,40,60,65,80,55,40,80,40,65,55,60,55,65,40,80,65,60,65,75,60,65,75,85,75,55,110,130,90,45,100,55,120,1
